LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0031150616,0.034769447
-0.0031146616,0.034969447
-0.0031142616,0.035055558
-0.0031138616,0.03537778
-0.0031134616,0.035400002
-0.0031130616,0.035355558
-0.0031126616,0.035247224
-0.0031122616,0.034975002
-0.0031118616,0.035025002
-0.0031114616,0.035575002
-0.0031110616,0.035980558
-0.0031106616,0.035966669
-0.0031102616,0.035544447
-0.0031098616,0.035066669
-0.0031094616,0.035036113
-0.0031090616,0.035247224
-0.0031086616,0.035544447
-0.0031082616,0.035608335
-0.0031078616,0.035711113
-0.0031074616,0.036066669
-0.0031070616,0.036511113
-0.0031066616,0.036830558
-0.0031062616,0.036766669
-0.0031058616,0.036497224
-0.0031054616,0.036441669
-0.0031050616,0.036697224
-0.0031046616,0.036966669
-0.0031042616,0.037088891
-0.0031038616,0.037086113
-0.0031034616,0.037036113
-0.0031030616,0.036833335
-0.0031026616,0.036625002
-0.0031022616,0.036566669
-0.0031018616,0.036625002
-0.0031014616,0.036841669
-0.0031010616,0.037011113
-0.0031006616,0.037055558
-0.0031002616,0.036966669
-0.0030998616,0.036830558
-0.0030994616,0.03677778
-0.0030990616,0.03690278
-0.0030986616,0.037333335
-0.0030982616,0.03787778
-0.0030978616,0.037966669
-0.0030974616,0.037463891
-0.0030970616,0.037086113
-0.0030966616,0.037180558
-0.0030962616,0.037325002
-0.0030958616,0.03717778
-0.0030954616,0.037030558
-0.0030950616,0.037369446
-0.0030946616,0.03797778
-0.0030942616,0.038247224
-0.0030938616,0.038047224
-0.0030934616,0.037686113
-0.0030930616,0.037636113
-0.0030926616,0.037925002
-0.0030922616,0.037941669
-0.0030918616,0.03765278
-0.0030914616,0.037608335
-0.0030910616,0.037966669
-0.0030906616,0.038313891
-0.0030902616,0.038155557
-0.0030898616,0.037808335
-0.0030894616,0.037863891
-0.0030890616,0.038122224
-0.0030886616,0.038263891
-0.0030882616,0.038275002
-0.0030878616,0.038322224
-0.0030874616,0.038380557
-0.0030870616,0.038311113
-0.0030866616,0.038275002
-0.0030862616,0.038230557
-0.0030858616,0.038236113
-0.0030854616,0.038533335
-0.0030850616,0.037297224
-0.0030846616,0.031241669
-0.0030842616,0.020208336
-0.0030838616,0.0089666703
-0.0030834616,0.0025972262
-0.0030830616,0.0010222263
-0.0030826616,0.0013305596
-0.0030822616,0.0016472262
-0.0030818616,0.0017194484
-0.0030814616,0.0018222262
-0.0030810616,0.0019083373
-0.0030806616,0.0019638929
-0.0030802616,0.0019972262
-0.0030798616,0.0020444484
-0.0030794616,0.0019666707
-0.0030790616,0.0018555595
-0.0030786616,0.002000004
-0.0030782616,0.0022861151
-0.0030778616,0.0022361151
-0.0030774616,0.0017666707
-0.0030770616,0.0013638929
-0.0030766616,0.0013805596
-0.0030762616,0.0017027818
-0.0030758616,0.0019805595
-0.0030754616,0.0020861151
-0.0030750616,0.0022805595
-0.0030746616,0.0028972262
-0.0030742616,0.0031888928
-0.0030738616,0.0024638928
-0.0030734616,0.0014472262
-0.0030730616,0.0011138929
-0.0030726616,0.0014444485
-0.0030722616,0.0016805596
-0.0030718616,0.0016416707
-0.0030714616,0.0015472262
-0.0030710616,0.0015333373
-0.0030706616,0.0016222262
-0.0030702616,0.0017194484
-0.0030698616,0.015183337
-0.0030694616,0.040294446
-0.0030690616,0.055800001
-0.0030686616,0.05591389
-0.0030682616,0.044586113
-0.0030678616,0.037188891
-0.0030674616,0.033450002
-0.0030670616,0.030150002
-0.0030666616,0.031836113
-0.0030662616,0.032119447
-0.0030658616,0.031822225
-0.0030654616,0.031763891
-0.0030650616,0.031000002
-0.0030646616,0.030330558
-0.0030642616,0.030363891
-0.0030638616,0.030863891
-0.0030634616,0.03120278
-0.0030630616,0.031213891
-0.0030626616,0.031175002
-0.0030622616,0.031319447
-0.0030618616,0.031388891
-0.0030614616,0.031547225
-0.0030610616,0.031547225
-0.0030606616,0.031597225
-0.0030602616,0.031425002
-0.0030598616,0.030919447
-0.0030594616,0.030522225
-0.0030590616,0.030869447
-0.0030586616,0.031844447
-0.0030582616,0.032513891
-0.0030578616,0.032213891
-0.0030574616,0.031697225
-0.0030570616,0.032011113
-0.0030566616,0.032819447
-0.0030562616,0.033344447
-0.0030558616,0.033125002
-0.0030554616,0.032630558
-0.0030550616,0.03237778
-0.0030546616,0.032300002
-0.0030542616,0.03210278
-0.0030538616,0.031936113
-0.0030534616,0.032133336
-0.0030530616,0.032622224
-0.0030526616,0.033022224
-0.0030522616,0.033100002
-0.0030518616,0.032986113
-0.0030514616,0.032608336
-0.0030510616,0.032147224
-0.0030506616,0.032108336
-0.0030502616,0.032525002
-0.0030498616,0.03320278
-0.0030494616,0.033897224
-0.0030490616,0.034188891
-0.0030486616,0.033808336
-0.0030482616,0.032941669
-0.0030478616,0.032333336
-0.0030474616,0.032447224
-0.0030470616,0.032869447
-0.0030466616,0.033200002
-0.0030462616,0.033341669
-0.0030458616,0.033300002
-0.0030454616,0.033225002
-0.0030450616,0.033136113
-0.0030446616,0.033008336
-0.0030442616,0.032966669
-0.0030438616,0.033219447
-0.0030434616,0.033644447
-0.0030430616,0.033813891
-0.0030426616,0.033711113
-0.0030422616,0.033691669
-0.0030418616,0.03385278
-0.0030414616,0.033908336
-0.0030410616,0.033688891
-0.0030406616,0.033441669
-0.0030402616,0.03335278
-0.0030398616,0.033411113
-0.0030394616,0.033491669
-0.0030390616,0.033363891
-0.0030386616,0.033136113
-0.0030382616,0.033080558
-0.0030378616,0.033213891
-0.0030374616,0.033363891
-0.0030370616,0.033408336
-0.0030366616,0.03345278
-0.0030362616,0.033466669
-0.0030358616,0.033447224
-0.0030354616,0.033608336
-0.0030350616,0.033888891
-0.0030346616,0.033836113
-0.0030342616,0.030863891
-0.0030338616,0.023397225
-0.0030334616,0.013938892
-0.0030330616,0.0062555593
-0.0030326616,0.0027111151
-0.0030322616,0.0016638929
-0.0030318616,0.0012111151
-0.0030314616,0.0008555596
-0.0030310616,0.00041944852
-0.0030306616,0.00045278185
-0.0030302616,0.00064722628
-0.0030298616,0.00078611516
-0.0030294616,0.0010194485
-0.0030290616,0.0012861151
-0.0030286616,0.0013305596
-0.0030282616,0.001100004
-0.0030278616,0.00094167071
-0.0030274616,0.00089167071
-0.0030270616,0.00080000405
-0.0030266616,0.00079167072
-0.0030262616,0.0010083374
-0.0030258616,0.0012416707
-0.0030254616,0.0011583374
-0.0030250616,0.00085278183
-0.0030246616,0.00075278183
-0.0030242616,0.00094722626
-0.0030238616,0.0010805596
-0.0030234616,0.00092500404
-0.0030230616,0.0007444485
-0.0030226616,0.00078889294
-0.0030222616,0.00089722627
-0.0030218616,0.00086667071
-0.0030214616,0.00070278183
-0.0030210616,0.00054722629
-0.0030206616,0.00054722629
-0.0030202616,0.00075555961
-0.0030198616,0.0010583374
-0.0030194616,0.0018027818
-0.0030190616,0.010083337
-0.0030186616,0.02910278
-0.0030182616,0.043172224
-0.0030178616,0.040786113
-0.0030174616,0.031041669
-0.0030170616,0.026886114
-0.0030166616,0.028697225
-0.0030162616,0.028388891
-0.0030158616,0.02677778
-0.0030154616,0.027100003
-0.0030150616,0.02635278
-0.0030146616,0.025947225
-0.0030142616,0.026358336
-0.0030138616,0.026508336
-0.0030134616,0.026822225
-0.0030130616,0.026697225
-0.0030126616,0.026691669
-0.0030122616,0.026522225
-0.0030118616,0.026563891
-0.0030114616,0.026630558
-0.0030110616,0.026641669
-0.0030106616,0.027011114
-0.0030102616,0.027288891
-0.0030098616,0.02737778
-0.0030094616,0.02735278
-0.0030090616,0.027447225
-0.0030086616,0.027555558
-0.0030082616,0.030044447
-0.0030078616,0.033758336
-0.0030074616,0.03437778
-0.0030070616,0.03180278
-0.0030066616,0.028333336
-0.0030062616,0.027313891
-0.0030058616,0.027555558
-0.0030054616,0.027625003
-0.0030050616,0.028213891
-0.0030046616,0.028297225
